news_date,source,headline,price_date_base,price_date_next,urea_abs_pct,dap_abs_pct,mop_abs_pct
2021-03-12,Коммерсантъ,"Цены на газ в Европе снижаются, давление на себестоимость удобрений ослабевает",2021-03-15,2021-03-22,0.004238,0.024258,0.081383
2021-03-17,Bloomberg,Девальвация рубля повышает экспортную привлекательность удобрений,2021-03-22,2021-03-29,0.004032,0.003397,0.014797
2021-03-23,Интерфакс,Отраслевая конференция по удобрениям пройдёт в следующем месяце,2021-03-29,2021-04-05,0.033288,0.013170,0.056109
2021-03-25,Bloomberg,DAP дешевеет из-за слабого спроса в Индии,2021-03-29,2021-04-05,0.033288,0.013170,0.056109
2021-03-30,Argus,Снижение цен на серу тянет вниз котировки фосфатных удобрений,2021-04-05,2021-04-12,0.017217,0.001727,0.013688
2021-04-13,Профильный телеграм-канал,Газ дорожает на фоне перебоев с поставками — растёт себестоимость азотных удобрений,2021-04-19,2021-04-26,0.002441,0.012907,0.026912
2021-04-14,Argus,"Поставки калия восстанавливаются, цены MOP снижаются",2021-04-19,2021-04-26,0.002441,0.012907,0.026912
2021-04-20,Профильный телеграм-канал,Ставки морского фрахта взлетели из-за перегрузки портов,2021-04-26,2021-05-03,0.014436,0.010619,0.070036
2021-04-26,Argus,Падение цен на зерно ослабляет спрос на удобрения,2021-04-26,2021-05-03,0.014436,0.010619,0.070036
2021-04-30,ICIS,Дефицит калия на ключевых рынках толкает цены вверх,2021-05-03,2021-05-10,0.002731,0.000323,0.010785
2021-05-03,Интерфакс,"Поставки хлористого калия сорваны, цены MOP идут вверх",2021-05-03,2021-05-10,0.002731,0.000323,0.010785
2021-05-03,Интерфакс,Компания провела ежегодный день инвестора,2021-05-03,2021-05-10,0.002731,0.000323,0.010785
2021-05-04,Интерфакс,Газ дорожает на фоне перебоев с поставками — растёт себестоимость азотных удобрений,2021-05-10,2021-05-17,0.011202,0.041882,0.011773
2021-05-15,Коммерсантъ,Ставки морского фрахта взлетели из-за перегрузки портов,2021-05-17,2021-05-24,0.015263,0.027679,0.000186
2021-05-22,Интерфакс,"Поставки калия восстанавливаются, цены MOP снижаются",2021-05-24,2021-05-31,0.019500,0.026605,0.019363
2021-05-22,Argus,Котировки аммиака пошли вниз на фоне слабого спроса,2021-05-24,2021-05-31,0.019500,0.026605,0.019363
2021-05-24,Argus,"Поставки хлористого калия сорваны, цены MOP идут вверх",2021-05-24,2021-05-31,0.019500,0.026605,0.019363
2021-05-24,Bloomberg,"Рубль укрепился, ЦБ удержал ставку",2021-05-24,2021-05-31,0.019500,0.026605,0.019363
2021-05-24,Argus,Назначен новый директор по устойчивому развитию,2021-05-24,2021-05-31,0.019500,0.026605,0.019363
2021-06-01,Bloomberg,Компания провела ежегодный день инвестора,2021-06-07,2021-06-14,0.010225,0.074775,0.024851
2021-06-16,Bloomberg,Фосфатное сырьё дорожает вслед за серой,2021-06-21,2021-06-28,0.011216,0.068885,0.007881
2021-06-18,Коммерсантъ,Введены ограничения на экспорт калия — рынок ждёт дефицита,2021-06-21,2021-06-28,0.011216,0.068885,0.007881
2021-07-02,CRU,"Энергокризис в Европе усиливается, заводы сокращают выпуск аммиака",2021-07-05,2021-07-12,0.005993,0.009287,0.026691
2021-07-28,Интерфакс,Фермеры откладывают закупки удобрений,2021-08-02,2021-08-09,0.027058,0.006632,0.008410
2021-07-31,Интерфакс,Газ дорожает на фоне перебоев с поставками — растёт себестоимость азотных удобрений,2021-08-02,2021-08-09,0.027058,0.006632,0.008410
2021-08-07,Argus,"Ставки фрахта снижаются, логистика дешевеет",2021-08-09,2021-08-16,0.056572,0.059139,0.004978
2021-08-11,ICIS,Снижение цен на серу тянет вниз котировки фосфатных удобрений,2021-08-16,2021-08-23,0.083900,0.010259,0.070996
2021-08-14,Коммерсантъ,Запуск простаивавших мощностей давит на цены аммиака,2021-08-16,2021-08-23,0.083900,0.010259,0.070996
2021-08-23,Reuters,Снижение цен на серу тянет вниз котировки фосфатных удобрений,2021-08-23,2021-08-30,0.037192,0.075919,0.052929
2021-08-27,Интерфакс,Логистические издержки растут — дорожает доставка удобрений,2021-08-30,2021-09-06,0.013671,0.008373,0.023693
2021-09-10,Коммерсантъ,Фермеры откладывают закупки удобрений,2021-09-13,2021-09-20,0.088271,0.015050,0.045621
2021-09-16,ICIS,DAP дешевеет из-за слабого спроса в Индии,2021-09-20,2021-09-27,0.107946,0.020204,0.007494
2021-09-18,Reuters,Падение цен на зерно ослабляет спрос на удобрения,2021-09-20,2021-09-27,0.107946,0.020204,0.007494
2021-09-21,ICIS,Нарушение цепочек поставок: контейнеры подорожали в разы,2021-09-27,2021-10-04,0.084773,0.022180,0.065604
2021-09-24,Интерфакс,Снижение цен на серу тянет вниз котировки фосфатных удобрений,2021-09-27,2021-10-04,0.084773,0.022180,0.065604
2021-09-24,CRU,Фермеры откладывают закупки удобрений,2021-09-27,2021-10-04,0.084773,0.022180,0.065604
2021-09-29,CRU,Ставки морского фрахта взлетели из-за перегрузки портов,2021-10-04,2021-10-11,0.010097,0.040176,0.018895
2021-10-05,Коммерсантъ,Ставки морского фрахта взлетели из-за перегрузки портов,2021-10-11,2021-10-18,0.033259,0.006519,0.031989
2021-10-07,Интерфакс,Цены на газ в Европе подскочили до многомесячных максимумов,2021-10-11,2021-10-18,0.033259,0.006519,0.031989
2021-10-11,Профильный телеграм-канал,Нарушение цепочек поставок: контейнеры подорожали в разы,2021-10-11,2021-10-18,0.033259,0.006519,0.031989
2021-10-18,Профильный телеграм-канал,Снижение цен на серу тянет вниз котировки фосфатных удобрений,2021-10-18,2021-10-25,0.036697,0.009715,0.041188
2021-11-01,ICIS,"Поставки хлористого калия сорваны, цены MOP идут вверх",2021-11-01,2021-11-08,0.040445,0.010566,0.008855
2021-11-12,Argus,Цены на DAP растут на фоне крепкого спроса в Южной Азии,2021-11-15,2021-11-22,0.041263,0.028290,0.018892
2021-11-15,CRU,"Ставки фрахта снижаются, логистика дешевеет",2021-11-15,2021-11-22,0.041263,0.028290,0.018892
2021-11-18,Интерфакс,Цены на DAP растут на фоне крепкого спроса в Южной Азии,2021-11-22,2021-11-29,0.023048,0.010938,0.008344
2021-11-25,Профильный телеграм-канал,Цены на DAP растут на фоне крепкого спроса в Южной Азии,2021-11-29,2021-12-06,0.023110,0.024882,0.012309
2021-11-26,CRU,"Поставки хлористого калия сорваны, цены MOP идут вверх",2021-11-29,2021-12-06,0.023110,0.024882,0.012309
2021-11-30,Argus,Введены ограничения на экспорт калия — рынок ждёт дефицита,2021-12-06,2021-12-13,0.040168,0.018179,0.010885
2021-12-16,CRU,Цены на DAP растут на фоне крепкого спроса в Южной Азии,2021-12-20,2021-12-27,0.005179,0.016661,0.018788
2021-12-28,ICIS,Производители аммиака объявили о сокращении мощностей,2022-01-03,2022-01-10,0.103312,0.010663,0.020728
2021-12-30,Reuters,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,2022-01-03,2022-01-10,0.103312,0.010663,0.020728
2022-01-12,Argus,Подписан меморандум о научном сотрудничестве с вузом,2022-01-17,2022-01-24,0.023989,0.048784,0.003150
2022-01-25,CRU,Новые контракты по калию заключены ниже рынка,2022-01-31,2022-02-07,0.059541,0.028089,0.011848
2022-02-01,CRU,Фосфатное сырьё дорожает вслед за серой,2022-02-07,2022-02-14,0.044248,0.014765,0.028028
2022-02-04,ICIS,Производитель открыл обновлённый учебный центр,2022-02-07,2022-02-14,0.044248,0.014765,0.028028
2022-02-07,Профильный телеграм-канал,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,2022-02-07,2022-02-14,0.044248,0.014765,0.028028
2022-02-12,Интерфакс,Производители аммиака объявили о сокращении мощностей,2022-02-14,2022-02-21,0.030932,0.034454,0.019275
2022-02-25,Профильный телеграм-канал,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,2022-02-28,2022-03-07,0.015348,0.002283,0.013811
2022-03-01,Профильный телеграм-канал,Фосфатное сырьё дорожает вслед за серой,2022-03-07,2022-03-14,0.061052,0.046222,0.040563
2022-03-05,Argus,Рубль резко ослаб к доллару,2022-03-07,2022-03-14,0.061052,0.046222,0.040563
2022-03-08,Argus,Девальвация рубля повышает экспортную привлекательность удобрений,2022-03-14,2022-03-21,0.050139,0.060059,0.041041
2022-03-09,Интерфакс,Производители аммиака объявили о сокращении мощностей,2022-03-14,2022-03-21,0.050139,0.060059,0.041041
2022-03-10,Bloomberg,Отраслевая конференция по удобрениям пройдёт в следующем месяце,2022-03-14,2022-03-21,0.050139,0.060059,0.041041
2022-03-15,CRU,Новые контракты по калию заключены ниже рынка,2022-03-21,2022-03-28,0.012855,0.005315,0.057524
2022-03-16,Профильный телеграм-канал,Рубль резко ослаб к доллару,2022-03-21,2022-03-28,0.012855,0.005315,0.057524
2022-03-17,CRU,Рост цен на зерно поддерживает спрос на удобрения,2022-03-21,2022-03-28,0.012855,0.005315,0.057524
2022-03-19,Argus,"Ставки фрахта снижаются, логистика дешевеет",2022-03-21,2022-03-28,0.012855,0.005315,0.057524
2022-03-22,Reuters,"Поставки калия восстанавливаются, цены MOP снижаются",2022-03-28,2022-04-04,0.015391,0.042871,0.034505
2022-03-30,Профильный телеграм-канал,Экспортные котировки аммиака выросли вслед за газом,2022-04-04,2022-04-11,0.023902,0.002795,0.118678
2022-04-05,Reuters,Фосфатное сырьё дорожает вслед за серой,2022-04-11,2022-04-18,0.087000,0.007548,0.017330
2022-04-08,Профильный телеграм-канал,"Энергокризис в Европе усиливается, заводы сокращают выпуск аммиака",2022-04-11,2022-04-18,0.087000,0.007548,0.017330
2022-04-08,Коммерсантъ,Производители аммиака объявили о сокращении мощностей,2022-04-11,2022-04-18,0.087000,0.007548,0.017330
2022-04-11,ICIS,Стабилизация рубля снижает экспортные премии,2022-04-11,2022-04-18,0.087000,0.007548,0.017330
2022-04-16,Reuters,Назначен новый директор по устойчивому развитию,2022-04-18,2022-04-25,0.027656,0.028434,0.038798
2022-04-22,Интерфакс,Цены на DAP растут на фоне крепкого спроса в Южной Азии,2022-04-25,2022-05-02,0.047229,0.009444,0.023612
2022-04-22,Argus,Стабилизация рубля снижает экспортные премии,2022-04-25,2022-05-02,0.047229,0.009444,0.023612
2022-04-26,ICIS,Производители аммиака объявили о сокращении мощностей,2022-05-02,2022-05-09,0.010722,0.034265,0.031951
2022-04-28,Профильный телеграм-канал,Стабилизация рубля снижает экспортные премии,2022-05-02,2022-05-09,0.010722,0.034265,0.031951
2022-04-29,Коммерсантъ,Компания провела ежегодный день инвестора,2022-05-02,2022-05-09,0.010722,0.034265,0.031951
2022-04-30,CRU,"Ставки фрахта снижаются, логистика дешевеет",2022-05-02,2022-05-09,0.010722,0.034265,0.031951
2022-05-05,Reuters,Стабилизация рубля снижает экспортные премии,2022-05-09,2022-05-16,0.014966,0.027899,0.005152
2022-05-13,Bloomberg,Экспортные котировки аммиака выросли вслед за газом,2022-05-16,2022-05-23,0.064576,0.007316,0.006474
2022-05-13,CRU,"Рубль укрепился, ЦБ удержал ставку",2022-05-16,2022-05-23,0.064576,0.007316,0.006474
2022-05-14,Argus,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,2022-05-16,2022-05-23,0.064576,0.007316,0.006474
2022-05-30,ICIS,Локдауны бьют по логистике и спросу на удобрения,2022-05-30,2022-06-06,0.046456,0.027338,0.056688
2022-06-04,Коммерсантъ,Назначен новый директор по устойчивому развитию,2022-06-06,2022-06-13,0.043414,0.000634,0.009791
2022-06-06,Интерфакс,"Рубль укрепился, ЦБ удержал ставку",2022-06-06,2022-06-13,0.043414,0.000634,0.009791
2022-06-07,Reuters,Введены ограничения на экспорт калия — рынок ждёт дефицита,2022-06-13,2022-06-20,0.061317,0.024408,0.048813
2022-06-21,Интерфакс,Дефицит калия на ключевых рынках толкает цены вверх,2022-06-27,2022-07-04,0.038359,0.023877,0.030477
2022-06-25,Reuters,Экспортные котировки аммиака выросли вслед за газом,2022-06-27,2022-07-04,0.038359,0.023877,0.030477
2022-07-09,Коммерсантъ,Фосфатное сырьё дорожает вслед за серой,2022-07-11,2022-07-18,0.044109,0.009309,0.064191
2022-07-21,CRU,"Энергокризис в Европе усиливается, заводы сокращают выпуск аммиака",2022-07-25,2022-08-01,0.029441,0.023182,0.059873
2022-07-21,Интерфакс,"Поставки хлористого калия сорваны, цены MOP идут вверх",2022-07-25,2022-08-01,0.029441,0.023182,0.059873
2022-08-05,CRU,Газ дорожает на фоне перебоев с поставками — растёт себестоимость азотных удобрений,2022-08-08,2022-08-15,0.002173,0.028849,0.042343
2022-08-06,Коммерсантъ,Подписан меморандум о научном сотрудничестве с вузом,2022-08-08,2022-08-15,0.002173,0.028849,0.042343
2022-08-17,Argus,Девальвация рубля повышает экспортную привлекательность удобрений,2022-08-22,2022-08-29,0.035093,0.028124,0.055942
2022-08-18,Профильный телеграм-канал,Дефицит калия на ключевых рынках толкает цены вверх,2022-08-22,2022-08-29,0.035093,0.028124,0.055942
2022-08-26,CRU,Снижение цен на серу тянет вниз котировки фосфатных удобрений,2022-08-29,2022-09-05,0.000293,0.004388,0.044309
2022-08-29,ICIS,"Ставки фрахта снижаются, логистика дешевеет",2022-08-29,2022-09-05,0.000293,0.004388,0.044309
2022-09-12,Argus,Снижение цен на серу тянет вниз котировки фосфатных удобрений,2022-09-12,2022-09-19,0.001823,0.033280,0.032027
2022-09-14,CRU,Экспортные котировки аммиака выросли вслед за газом,2022-09-19,2022-09-26,0.021700,0.003407,0.020239
2022-09-16,Коммерсантъ,Назначен новый директор по устойчивому развитию,2022-09-19,2022-09-26,0.021700,0.003407,0.020239
2022-09-19,ICIS,Новые контракты по калию заключены ниже рынка,2022-09-19,2022-09-26,0.021700,0.003407,0.020239
2022-09-23,ICIS,Снижение цен на серу тянет вниз котировки фосфатных удобрений,2022-09-26,2022-10-03,0.005295,0.022014,0.036465
2022-09-30,Reuters,Снижение цен на серу тянет вниз котировки фосфатных удобрений,2022-10-03,2022-10-10,0.012804,0.004670,0.035608
2022-10-03,Интерфакс,Локдауны бьют по логистике и спросу на удобрения,2022-10-03,2022-10-10,0.012804,0.004670,0.035608
2022-10-11,Интерфакс,"Поставки калия восстанавливаются, цены MOP снижаются",2022-10-17,2022-10-24,0.021160,0.007029,0.077656
2022-10-19,CRU,Отраслевая конференция по удобрениям пройдёт в следующем месяце,2022-10-24,2022-10-31,0.001089,0.036294,0.002764
2022-10-24,ICIS,Нарушение цепочек поставок: контейнеры подорожали в разы,2022-10-24,2022-10-31,0.001089,0.036294,0.002764
2022-11-01,Argus,Котировки аммиака пошли вниз на фоне слабого спроса,2022-11-07,2022-11-14,0.052564,0.061547,0.049433
2022-11-02,Интерфакс,"Цены на газ в Европе снижаются, давление на себестоимость удобрений ослабевает",2022-11-07,2022-11-14,0.052564,0.061547,0.049433
2022-11-11,Reuters,DAP дешевеет из-за слабого спроса в Индии,2022-11-14,2022-11-21,0.028586,0.040499,0.010065
2022-11-16,Bloomberg,Производитель открыл обновлённый учебный центр,2022-11-21,2022-11-28,0.025489,0.028334,0.060528
2022-11-19,Argus,Газ дешевеет вторую неделю подряд,2022-11-21,2022-11-28,0.025489,0.028334,0.060528
2022-11-26,Bloomberg,Запуск простаивавших мощностей давит на цены аммиака,2022-11-28,2022-12-05,0.004894,0.015623,0.107641
2022-11-28,ICIS,Падение цен на зерно ослабляет спрос на удобрения,2022-11-28,2022-12-05,0.004894,0.015623,0.107641
2022-12-01,Reuters,Снижение цен на серу тянет вниз котировки фосфатных удобрений,2022-12-05,2022-12-12,0.040868,0.011542,0.014187
2022-12-05,Профильный телеграм-канал,Фермеры откладывают закупки удобрений,2022-12-05,2022-12-12,0.040868,0.011542,0.014187
2022-12-06,Интерфакс,Снижение цен на серу тянет вниз котировки фосфатных удобрений,2022-12-12,2022-12-19,0.038543,0.001752,0.018710
2022-12-15,Профильный телеграм-канал,Отраслевая конференция по удобрениям пройдёт в следующем месяце,2022-12-19,2022-12-26,0.017654,0.010928,0.071404
2022-12-20,Argus,Газ дешевеет вторую неделю подряд,2022-12-26,2023-01-02,0.001685,0.041102,0.013678
2022-12-20,Argus,Запуск простаивавших мощностей давит на цены аммиака,2022-12-26,2023-01-02,0.001685,0.041102,0.013678
2022-12-27,CRU,"Рубль укрепился, ЦБ удержал ставку",2023-01-02,2023-01-09,0.039190,0.013160,0.067834
2022-12-31,Коммерсантъ,Стабилизация на газовом рынке снижает издержки производителей,2023-01-02,2023-01-09,0.039190,0.013160,0.067834
2023-01-05,CRU,Котировки аммиака пошли вниз на фоне слабого спроса,2023-01-09,2023-01-16,0.052693,0.049183,0.020736
2023-01-05,Профильный телеграм-канал,Назначен новый директор по устойчивому развитию,2023-01-09,2023-01-16,0.052693,0.049183,0.020736
2023-01-07,ICIS,Новые контракты по калию заключены ниже рынка,2023-01-09,2023-01-16,0.052693,0.049183,0.020736
2023-01-11,Argus,Компания провела ежегодный день инвестора,2023-01-16,2023-01-23,0.057478,0.003016,0.023381
2023-01-16,Reuters,"Ставки фрахта снижаются, логистика дешевеет",2023-01-16,2023-01-23,0.057478,0.003016,0.023381
2023-01-17,Argus,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,2023-01-23,2023-01-30,0.038470,0.035093,0.009363
2023-01-21,Argus,Опубликован годовой ESG-отчёт компании,2023-01-23,2023-01-30,0.038470,0.035093,0.009363
2023-01-23,Argus,DAP дешевеет из-за слабого спроса в Индии,2023-01-23,2023-01-30,0.038470,0.035093,0.009363
2023-01-26,Argus,Производитель открыл обновлённый учебный центр,2023-01-30,2023-02-06,0.066833,0.037153,0.022306
2023-01-27,Коммерсантъ,Котировки аммиака пошли вниз на фоне слабого спроса,2023-01-30,2023-02-06,0.066833,0.037153,0.022306
2023-01-31,Argus,Назначен новый директор по устойчивому развитию,2023-02-06,2023-02-13,0.023013,0.068544,0.025518
2023-02-02,Reuters,Запуск простаивавших мощностей давит на цены аммиака,2023-02-06,2023-02-13,0.023013,0.068544,0.025518
2023-02-09,Bloomberg,Котировки аммиака пошли вниз на фоне слабого спроса,2023-02-13,2023-02-20,0.006543,0.065519,0.033397
2023-02-13,CRU,Ставки морского фрахта взлетели из-за перегрузки портов,2023-02-13,2023-02-20,0.006543,0.065519,0.033397
2023-02-14,ICIS,"Цены на газ в Европе снижаются, давление на себестоимость удобрений ослабевает",2023-02-20,2023-02-27,0.040953,0.007011,0.012171
2023-02-14,CRU,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,2023-02-20,2023-02-27,0.040953,0.007011,0.012171
2023-02-14,Профильный телеграм-канал,Девальвация рубля повышает экспортную привлекательность удобрений,2023-02-20,2023-02-27,0.040953,0.007011,0.012171
2023-02-23,CRU,"Цены на газ в Европе снижаются, давление на себестоимость удобрений ослабевает",2023-02-27,2023-03-06,0.125169,0.025583,0.038984
2023-02-24,Argus,Производитель открыл обновлённый учебный центр,2023-02-27,2023-03-06,0.125169,0.025583,0.038984
2023-03-07,Argus,Рост цен на зерно поддерживает спрос на удобрения,2023-03-13,2023-03-20,0.162464,0.051824,0.020277
2023-03-09,Коммерсантъ,Котировки аммиака пошли вниз на фоне слабого спроса,2023-03-13,2023-03-20,0.162464,0.051824,0.020277
2023-03-27,Интерфакс,Рост цен на зерно поддерживает спрос на удобрения,2023-03-27,2023-04-03,0.015330,0.032570,0.036565
2023-04-01,Профильный телеграм-канал,Производители аммиака объявили о сокращении мощностей,2023-04-03,2023-04-10,0.037660,0.046848,0.015672
2023-04-05,Коммерсантъ,Цены на DAP растут на фоне крепкого спроса в Южной Азии,2023-04-10,2023-04-17,0.125929,0.023665,0.006507
2023-04-07,Профильный телеграм-канал,Экспортные котировки аммиака выросли вслед за газом,2023-04-10,2023-04-17,0.125929,0.023665,0.006507
2023-04-10,Коммерсантъ,Новые контракты по калию заключены ниже рынка,2023-04-10,2023-04-17,0.125929,0.023665,0.006507
2023-04-13,Argus,"Рубль укрепился, ЦБ удержал ставку",2023-04-17,2023-04-24,0.053277,0.048011,0.011789
2023-04-18,Reuters,Ставки морского фрахта взлетели из-за перегрузки портов,2023-04-24,2023-05-01,0.060766,0.009793,0.066275
2023-04-21,Интерфакс,Запуск простаивавших мощностей давит на цены аммиака,2023-04-24,2023-05-01,0.060766,0.009793,0.066275
2023-04-24,Коммерсантъ,Газ дешевеет вторую неделю подряд,2023-04-24,2023-05-01,0.060766,0.009793,0.066275
2023-05-04,Bloomberg,Запуск простаивавших мощностей давит на цены аммиака,2023-05-08,2023-05-15,0.010812,0.006167,0.037690
2023-05-04,Argus,Отраслевая конференция по удобрениям пройдёт в следующем месяце,2023-05-08,2023-05-15,0.010812,0.006167,0.037690
2023-05-05,ICIS,Логистические издержки растут — дорожает доставка удобрений,2023-05-08,2023-05-15,0.010812,0.006167,0.037690
2023-05-17,Интерфакс,Логистические издержки растут — дорожает доставка удобрений,2023-05-22,2023-05-29,0.042743,0.062072,0.089503
2023-05-20,Профильный телеграм-канал,"Поставки калия восстанавливаются, цены MOP снижаются",2023-05-22,2023-05-29,0.042743,0.062072,0.089503
2023-05-23,Argus,Производители аммиака объявили о сокращении мощностей,2023-05-29,2023-06-05,0.092635,0.013807,0.010390
2023-05-24,ICIS,Стабилизация на газовом рынке снижает издержки производителей,2023-05-29,2023-06-05,0.092635,0.013807,0.010390
2023-05-24,Argus,Фермеры откладывают закупки удобрений,2023-05-29,2023-06-05,0.092635,0.013807,0.010390
2023-05-25,Интерфакс,Ставки морского фрахта взлетели из-за перегрузки портов,2023-05-29,2023-06-05,0.092635,0.013807,0.010390
2023-05-26,Bloomberg,Запущена корпоративная программа стажировок,2023-05-29,2023-06-05,0.092635,0.013807,0.010390
2023-06-05,Коммерсантъ,Рубль резко ослаб к доллару,2023-06-05,2023-06-12,0.027820,0.029743,0.045877
2023-06-12,Интерфакс,Рубль резко ослаб к доллару,2023-06-12,2023-06-19,0.110007,0.030708,0.027772
2023-06-16,CRU,Локдауны бьют по логистике и спросу на удобрения,2023-06-19,2023-06-26,0.095302,0.003921,0.091452
2023-06-24,ICIS,Снижение цен на серу тянет вниз котировки фосфатных удобрений,2023-06-26,2023-07-03,0.022008,0.019210,0.088477
